"org_id",name,"is_test","is_test_num","contains_test","has_no_data","manual_override",exclude,notes,"date_added","is_partner","is_partner_num","managing_partner_org_id","managing_cisco_group_org_id","is_demo_org"
"47e1d512-bc0c-4ca6-a3e0-c3e00942245b",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"48c88dfc-a8e9-4594-a4e6-4676ca025800",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"4e10bc82-6483-4316-9355-1fcfbe3be3a3",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"4f217e9e-06e1-434c-8287-b2ae720d7b06",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"517e7cc7-154c-486b-8a63-49f53ac1692c",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"523205b6-13b3-4c6f-96a1-5d0b79d9754d","Atlas_Test_stnuttvm1",TRUE,1,1,0,0,1,,"2016-04-16",FALSE,0,,,
"526fe700-8cc0-4262-aee8-41744026f077","Atlas_Test_MNinttx3_0310",TRUE,1,1,0,0,1,,"2016-04-16",FALSE,0,,,
"52a294fe-1bed-43d2-afaa-25d0464d727a",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"5625ddfa-af28-461f-b477-eddd6c5e0c1e",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"563a25ab-f039-49fc-a343-c05f9d7ba6ae",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"57807880-4574-4cec-b185-e68846ddc824",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"579751d7-21d3-46c3-b5f0-45cdf1b207a1",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"58dc1ece-6146-43cd-92bf-c09bf5373f84","Syed Inc",TRUE,1,0,0,0,1,,"2016-04-16",FALSE,0,,,
"5c84b632-439e-4e5d-9bb0-f419bd562f98",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"6201a289-d624-4de5-bb37-6ec984a682b6","Jeff's Shop",TRUE,1,0,0,0,1,,"2016-04-16",,0,"3621e694-c953-4003-bfee-f9938ee3cb82",,
"630534b4-a3c3-41fa-ab68-a4ef6eebeb05",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"64163544-1483-464b-9985-6e276c574d09","Atlas_Test_SDTX3_0404",TRUE,1,1,0,0,1,,"2016-04-16",FALSE,0,,,
"65539570-af89-47ee-bd35-d01e3622938d",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"68640d6e-0083-4cbf-861e-3cffe9cbc20b",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"6885ae98-e239-42f6-8bd9-3ef72bc13488",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"69b58bbb-302c-4012-bfdd-6283df80c158",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"6a854d01-4469-4754-baa2-dc785d9ea9e3",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"6abf14fc-3309-44ae-8e7a-7448624ac7af","TAC-RTP-TP",TRUE,1,0,0,0,1,,"2016-04-16",,0,"e41202d1-34ef-4851-ad2c-37938a8295e1",,
"6ca95c57-b2b0-4d00-a1f3-08c9cafe9d93",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"6da4609f-1d7d-4c62-a74c-87b1b047eda3",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"7527559e-b6d9-47f6-a4d3-6cd354a3b1ed",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"7550156a-5fae-4d2f-bb60-e3434b6a6acb",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"786928f6-9a56-4727-af83-0edc6f1b8630",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"7abfc38b-2dfe-4cc0-b3ea-8d588a9e875c",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"7b1e0380-63fd-44bd-9132-adf6bfa5a3e3",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"7c57f5f1-cc48-4ebc-966f-a0fb6e203206",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"7c8fd0e3-a01d-4e4c-a43d-6a552e25fcba",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"80faa943-1e4f-4b68-b9a0-dba10a73b5ef","Huron test",TRUE,1,1,0,0,1,,"2016-04-16",,0,"e41202d1-34ef-4851-ad2c-37938a8295e1",,
"815aca66-d6ef-4547-8da6-62e0743f82d2",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"83f5721f-63ba-4350-9900-8980793a24f3",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"856efcfa-f27c-4f6a-8157-3fd12dcd42d9","Spark Lab Test 2",TRUE,1,1,0,0,1,,"2016-04-16",FALSE,0,,,
"8b4214e8-985c-4815-b30e-72a3ca638f89",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"8bfaeb3e-1767-4db4-af57-2ee5e645845f",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"8c6314f9-5bc7-42e2-907e-f6d891771a1b",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"8e67a358-e86e-4746-91ed-821b85651e99",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"96fb8665-f1d6-455e-b720-d3b1ee156682","Atlas_Test_RPPROD_0330",TRUE,1,1,0,0,1,,"2016-04-16",,0,"06903122-2adf-4b18-a5bb-33064a123ca8",,
"9793fc5c-fef2-4114-b790-0e23a8f32c0e",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"996a3cdf-fa45-4497-8524-e385de59c96a",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"9b06d763-0ceb-4907-afcb-0c34b36b8ce1",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"a2727646-8e05-46ae-ad1d-2dc834c99b00",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"a50d28fb-6e65-4c1d-9f3d-4089518af16d",,TRUE,1,0,1,0,1,,"2016-04-16",FALSE,0,,,
"a50d35a8-71e8-4814-aff4-55d53fbfd84c","Atlas_Test_ wbxASorg0001",TRUE,1,1,0,0,1,,"2016-04-16",,0,"c0cb726f-a187-4ef6-b89d-46749e1abd7a",,
